query_mass,compound_id,compound_name,kegg_id,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,delta(ppm)
118.0864025,HMDB0062141,"N,N-Dimethyl-L-Alanine",n/a,C5H11NO2,117.078978601,M+H,+,118.086255,1
118.0864025,HMDB0013716,Norvaline,C01799,C5H11NO2,117.078978601,M+H,+,118.086255,1
118.0864025,HMDB0003355,5-Aminopentanoic acid,C00431,C5H11NO2,117.078978601,M+H,+,118.086255,1
118.0864025,HMDB0001382,Vaporole,C07457,C5H11NO2,117.078978601,M+H,+,118.086255,1
118.0864025,HMDB0002141,N-Methyl-a-aminoisobutyric acid,n/a,C5H11NO2,117.078978601,M+H,+,118.086255,1
118.0864025,HMDB0015550,Amyl Nitrite,C07457,C5H11NO2,117.078978601,M+H,+,118.086255,1
118.0864025,HMDB0000883,L-Valine,C00183,C5H11NO2,117.078978601,M+H,+,118.086255,1
118.0864025,HMDB0029599,Glutaral,C12518,C5H8O2,100.0524295,M+NH4,+,118.086253,1
118.0864025,HMDB0000509,Senecioic acid,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,1
118.0864025,HMDB0001470,Tiglic acid,C08279,C5H8O2,100.0524295,M+NH4,+,118.086253,1
118.0864025,HMDB0001862,2-Ethylacrylic acid,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,1
118.0864025,HMDB0002167,3-Methylbutyrolactone,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,1
118.0864025,HMDB0031648,"2,4-Pentanedione",C15499,C5H8O2,100.0524295,M+NH4,+,118.086253,1
118.0864025,HMDB0033840,Dihydro-5-methyl-2(3H)-furanone,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,1
118.0864025,HMDB0031178,2-Methyltetrahydrofuran-3-one,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,1
118.0864025,HMDB0031602,4-Pentenoic acid,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,1
118.0864025,HMDB0031598,"2,3-Pentanedione",n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,1
118.0864025,HMDB0033978,Ethyl acrylate,C19238,C5H8O2,100.0524295,M+NH4,+,118.086253,1
118.0864025,HMDB0032385,Methyl methacrylate,C19504,C5H8O2,100.0524295,M+NH4,+,118.086253,1
118.0864025,HMDB0029608,Angelic acid,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,1
118.0864025,HMDB0032351,Isopropenyl acetate,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,1
118.0864025,HMDB0035143,Dihydro-3-methyl-2(3H)-furanone,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,1
118.0864025,HMDB0032459,2-Pentenoic acid,n/a,C5H8O2,100.0524295,M+NH4,+,118.086253,1
118.0864025,HMDB0180166,3-methyl-4-trans-hydroxy-2-butenal,n/a,C5H8O2,100.052429498,M+NH4,+,118.086252,1
118.0864025,HMDB0170858,Isopropenylacetic acid,n/a,C5H8O2,100.052429498,M+NH4,+,118.086252,1
118.0864025,HMDB0132474,2-methylbut-2-enoic acid,n/a,C5H8O2,100.052429498,M+NH4,+,118.086252,1
118.0864025,HMDB0129418,"3,3-dimethyloxirane-2-carbaldehyde",n/a,C5H8O2,100.052429498,M+NH4,+,118.086252,1
118.0864025,HMDB0130837,2-methylbut-3-enoic acid,n/a,C5H8O2,100.052429498,M+NH4,+,118.086252,1
118.0864025,HMDB0149276,SCHEMBL15659879,n/a,C5H8O2,100.052429498,M+NH4,+,118.086252,1
118.0864025,HMDB0163712,SCHEMBL6914033,n/a,C5H8O2,100.052429498,M+NH4,+,118.086252,1
118.0864025,HMDB0163713,73255-29-5,n/a,C5H8O2,100.052429498,M+NH4,+,118.086252,1
118.0864025,HMDB0163714,1-(2-methyloxiran-2-yl)ethan-1-one,n/a,C5H8O2,100.052429498,M+NH4,+,118.086252,1
118.0864025,HMDB0059606,"N,N,N-trimethylglycinium",C00719,C5H12NO2,118.086803633,M+H,+,118.086804,3
118.0864025,HMDB0000043,"N,N,N-trimethylglycinium",C00719,C5H12NO2,118.086803633,M+H,+,118.086804,3
119.0893572,HMDB0039806,1-Hexanethiol,n/a,C6H14S,118.081621138,M+H,+,119.088897,4
119.0893572,HMDB0031431,Dipropyl sulfide,n/a,C6H14S,118.081621138,M+H,+,119.088897,4
119.0893572,HMDB0029579,Diisopropyl sulfide,n/a,C6H14S,118.081621138,M+H,+,119.088897,4
126.065715,HMDB0011601,3-Methylcytosine,n/a,C5H7N3O,125.058911861,M+H,+,126.066188,4
126.065715,HMDB0004339,2-O-Methylcytosine,n/a,C5H7N3O,125.058911861,M+H,+,126.066188,4
126.065715,HMDB0002894,5-Methylcytosine,C02376,C5H7N3O,125.058911861,M+H,+,126.066188,4
130.0656268,HMDB0172056,3-(2-hydroxyphenyl)propanenitrile,n/a,C9H9NO,147.068413914,M+H-H2O,+,130.065714,1
130.0656268,HMDB0172059,3-(4-Hydroxyphenyl)propionitrile,n/a,C9H9NO,147.068413914,M+H-H2O,+,130.065714,1
130.0656268,HMDB0172058,3-(3-hydroxyphenyl)propanenitrile,n/a,C9H9NO,147.068413914,M+H-H2O,+,130.065714,1
130.0656268,HMDB0172057,3-Hydroxy-3-phenylpropanenitrile,n/a,C9H9NO,147.068413914,M+H-H2O,+,130.065714,1
130.0656268,HMDB0159225,3-Methyl-1H-indol-4-ol,n/a,C9H9NO,147.068413914,M+H-H2O,+,130.065714,1
130.0656268,HMDB0159223,5-Hydroxy-3-methylindole,n/a,C9H9NO,147.068413914,M+H-H2O,+,130.065714,1
