query_mass,compound_id,compound_name,kegg_id,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,delta(ppm)
146.1171354,HMDB0165096,SCHEMBL443446,n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0165095,3-Hydroxy-3-methylcyclohexan-1-one,n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0165097,SCHEMBL13284055,n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0166737,6-Hydroxy-2-heptenal,n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0031484,2-Heptenoic acid,n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0038962,Ethyl tiglate,C08487,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0031500,Methyl 2E-hexenoate,n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0166739,(2E)-7-hydroxyhept-2-enal,n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0029314,Isopentenyl acetate,n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0031477,"3,4-Heptanedione",n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0031476,"2,3-Heptanedione",n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0031504,Methyl (Z)-3-hexenoate,n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0031603,Ethyl 4-pentenoate,n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0040214,cis-3-Hexenyl formate,n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0031342,Cyclohexanecarboxylic acid,C09822,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0038271,2-Hexenyl formate,n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0031174,4-Methyl-5-hexanolide,n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0031681,Dihydro-5-propyl-2(3H)-furanone,n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0033793,4-Heptenoic acid,n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0031593,"5-Methyl-2,3-hexanedione",n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0039819,"2,4-Dimethyl-2-pentenoic acid",n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0166736,4-Hydroxyheptenal,n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0173760,SCHEMBL14734478,n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0173761,"3-methylcyclohex-3-ene-1,2-diol",n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0173762,"5-methylcyclohex-4-ene-1,3-diol",n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0173763,1-methyl-7-oxabicyclo[4.1.0]heptan-3-ol,n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0180322,3-(3-ethyloxiran-2-yl)propanal,n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0180323,(2E)-3-(3-ethyloxiran-2-yl)prop-2-en-1-ol,n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0029165,"1,3-Diacetylpropane",n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0031351,Cyclohexyl formate,n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0032460,4-Pentenyl acetate,n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0032391,3-Methyl-3-butenyl acetate,n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0030330,1-Methoxy-3-methylene-2-pentanone,n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0059876,Pantolactone,n/a,C7H12O2,128.083729626,M+NH4,+,146.117553,3
146.1171354,HMDB0040591,Allyl butyrate,n/a,C7H12O2,128.083729628,M+NH4,+,146.117553,3
146.1171354,HMDB0145113,SCHEMBL4034937,n/a,C7H15NO2,145.110278727,M+H,+,146.117555,3
146.1171354,HMDB0145114,"1-(piperidin-1-yl)ethane-1,2-diol",n/a,C7H15NO2,145.110278727,M+H,+,146.117555,3
146.1171354,HMDB0145115,5-[(2-hydroxyethyl)amino]pentanal,n/a,C7H15NO2,145.110278727,M+H,+,146.117555,3
146.1171354,HMDB0145125,1-(2-hydroxyethyl)piperidin-3-ol,n/a,C7H15NO2,145.110278727,M+H,+,146.117555,3
146.1171354,HMDB0145116,SCHEMBL10818580,n/a,C7H15NO2,145.110278727,M+H,+,146.117555,3
146.1171354,HMDB0094649,L-2-aminoheptanoic acid,n/a,C7H15NO2,145.110278729,M+H,+,146.117555,3
146.1171354,HMDB0001161,4-Trimethylammoniobutanoic acid,C01181,C7H15NO2,145.110278729,M+H,+,146.117555,3
146.1171354,HMDB0006831,4-Trimethylammoniobutanoic acid,C01181,C7H15NO2,145.110278729,M+H,+,146.117555,3
146.1171354,HMDB0000895,Acetylcholine,C01996,C7H16NO2,146.118103761,M+H,+,146.118104,7
146.1171354,HMDB0013811,1-Nitroheptane,n/a,C7H16NO2,146.118103761,M+H,+,146.118104,7
147.0313271,HMDB0167848,1-(prop-2-en-1-yldisulfanyl)propan-2-ol,n/a,C6H12OS2,164.032957354,M+H-H2O,+,147.030257,7
147.0313271,HMDB0167849,3-(prop-2-en-1-yldisulfanyl)propan-1-ol,n/a,C6H12OS2,164.032957354,M+H-H2O,+,147.030257,7
147.0313271,HMDB0167850,2-[(propyldisulfanyl)methyl]oxirane,n/a,C6H12OS2,164.032957354,M+H-H2O,+,147.030257,7
147.0313271,HMDB0032748,R-1-Propenyl 1-propanesulfinothioate,n/a,C6H12OS2,164.032956386,M+H-H2O,+,147.030256,7
147.0313271,HMDB0032741,S-2-Propenyl 1-propanesulfinothioate,n/a,C6H12OS2,164.032956386,M+H-H2O,+,147.030256,7
147.0313271,HMDB0032749,R-Propyl 1-propenesulfinothioate,n/a,C6H12OS2,164.032956386,M+H-H2O,+,147.030256,7
147.0313271,HMDB0039965,S-Propyl 2-propene-1-sulfinothioate,n/a,C6H12OS2,164.032956386,M+H-H2O,+,147.030256,7
147.0313271,HMDB0041390,"(E,E)-Di-1-propenyl disulfide",n/a,C6H10S2,146.0223917,M+H,+,147.029668,11
147.0313271,HMDB0041393,(E)-1-Propenyl 2-propenyl disulfide,n/a,C6H10S2,146.0223917,M+H,+,147.029668,11
147.0313271,HMDB0033966,"Di-2-propenyl disulfide, 9CI",C08369,C6H10S2,146.0223917,M+H,+,147.029668,11
147.0313271,HMDB0164700,"3,4-dihydroxy-5-(hydroxymethyl)-2,5-dihydrofuran-2-one",n/a,C5H6O5,146.021523293,M+H,+,147.028799,17
147.0313271,HMDB0013701,3-Oxoglutaric acid,n/a,C5H6O5,146.021523302,M+H,+,147.028799,17
147.0313271,HMDB0000208,Oxoglutaric acid,C00026,C5H6O5,146.021523302,M+H,+,147.028799,17
147.0313271,HMDB0160653,"Pentaric acid, 2,3-anhydro-4-deoxy- (9CI)",n/a,C5H6O5,146.021523293,M+H,+,147.028799,17
147.0313271,HMDB0161317,(2E)-2-(hydroxymethyl)but-2-enedioic acid,n/a,C5H6O5,146.021523293,M+H,+,147.028799,17
147.0313271,HMDB0161318,89603-18-9,n/a,C5H6O5,146.021523293,M+H,+,147.028799,17
147.0313271,HMDB0160654,SCHEMBL3125276,n/a,C5H6O5,146.021523293,M+H,+,147.028799,17
147.1206243,HMDB0041477,2-Ethyl-1-hexanethiol,n/a,C8H18S,146.112921266,M+H,+,147.120197,3
147.1206243,HMDB0031660,Dibutyl sulfide,n/a,C8H18S,146.112921266,M+H,+,147.120197,3
151.1441619,HMDB0168717,N-ethyldiethanolamine,n/a,C6H15NO2,133.110278727,M+NH4,+,151.144102,0
151.1441619,HMDB0168715,SCHEMBL290193,n/a,C6H15NO2,133.110278727,M+NH4,+,151.144102,0
151.1441619,HMDB0168716,SCHEMBL20596841,n/a,C6H15NO2,133.110278727,M+NH4,+,151.144102,0
151.1441619,HMDB0168718,Diethylaminoethanol-N-oxide,n/a,C6H15NO2,133.110278727,M+NH4,+,151.144102,0
151.1441619,HMDB0062061,4-methyloctane,n/a,C9H20,128.156500644,M+Na,+,151.145719,10
151.1441619,HMDB0030302,"2,3,4-Trimethylhexane",n/a,C9H20,128.15650064,M+Na,+,151.145719,10
151.1441619,HMDB0029595,Nonane,C02445,C9H20,128.15650064,M+Na,+,151.145719,10
151.1441619,HMDB0030301,"2,2,3,4-Tetramethylpentane",n/a,C9H20,128.15650064,M+Na,+,151.145719,10
151.1441619,HMDB0031556,Isononane,n/a,C9H20,128.15650064,M+Na,+,151.145719,10
151.1441619,HMDB0031416,"3,4-Dimethylheptane",n/a,C9H20,128.15650064,M+Na,+,151.145719,10
