query_mass,compound_id,compound_name,kegg_id,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,delta(ppm)
76.03997675,HMDB0000123,Glycine,C00037,C2H5NO2,75.032028409,M+H,+,76.039304,9
76.03997675,HMDB0014691,Acetohydroxamic Acid,C06808,C2H5NO2,75.032028409,M+H,+,76.039304,9
76.03997675,HMDB0031239,Ethyl nitrite,n/a,C2H5NO2,75.032028409,M+H,+,76.039304,9
76.03997675,HMDB0161401,glycinate,n/a,C2H4NO2,74.024751953,M+H,+,76.039304,9
81.07049714,HMDB0031496,Hex-trans-2-en-1-al,C08497,C6H10O,98.073164942,M+H-H2O,+,81.070465,0
81.07049714,HMDB0176892,Hex-trans-2-en-1-al,C08497,C6H10O,98.073164942,M+H-H2O,+,81.070465,0
81.07049714,HMDB0179336,"cis,trans-2,4-hexadien-1-ol",n/a,C6H10O,98.073164942,M+H-H2O,+,81.070465,0
81.07049714,HMDB0165587,"(2Z)-2-methylpenta-2,4-dien-1-ol",n/a,C6H10O,98.073164942,M+H-H2O,+,81.070465,0
81.07049714,HMDB0031498,(Z)-3-Hexenal,C16310,C6H10O,98.073164942,M+H-H2O,+,81.070465,0
81.07049714,HMDB0033549,(E)-4-Hexenal,n/a,C6H10O,98.073164942,M+H-H2O,+,81.070465,0
81.07049714,HMDB0033714,2-Methyl-2-pentenal,n/a,C6H10O,98.073164942,M+H-H2O,+,81.070465,0
81.07049714,HMDB0031564,4-Methyl-4-penten-2-one,n/a,C6H10O,98.073164942,M+H-H2O,+,81.070465,0
81.07049714,HMDB0030332,2-Methyl-4-pentenal,n/a,C6H10O,98.073164942,M+H-H2O,+,81.070465,0
81.07049714,HMDB0031563,"4-Methyl-3-penten-2-one, 9CI",n/a,C6H10O,98.073164942,M+H-H2O,+,81.070465,0
81.07049714,HMDB0003315,Cyclohexanone,C00414,C6H10O,98.073164942,M+H-H2O,+,81.070465,0
81.07049714,HMDB0031196,4-Methyl-2-pentenal,n/a,C6H10O,98.073164942,M+H-H2O,+,81.070465,0
81.07049714,HMDB0031497,3-Hexenal,n/a,C6H10O,98.073164942,M+H-H2O,+,81.070465,0
81.07049714,HMDB0040271,(Z)-4-Hexenal,n/a,C6H10O,98.073164942,M+H-H2O,+,81.070465,0
81.07049714,HMDB0035239,4-Hexen-3-one,n/a,C6H10O,98.073164942,M+H-H2O,+,81.070465,0
81.07049714,HMDB0040264,(Z)-2-Hexenal,n/a,C6H10O,98.073164942,M+H-H2O,+,81.070465,0
81.07049714,HMDB0062031,3e-hexene-2-one,n/a,C6H10O,98.073164942,M+H-H2O,+,81.070465,0
81.07049714,HMDB0062127,2-methylpent-1-en-3-one,n/a,C6H10O,98.073164942,M+H-H2O,+,81.070465,0
189.0522034,HMDB0041611,Ethyl 2-furanacrylate,n/a,C9H10O3,166.062994182,M+Na,+,189.052212,0
189.0522034,HMDB0180875,62600-15-1,n/a,C9H10O3,166.062994182,M+Na,+,189.052212,0
189.0522034,HMDB0062348,"3,5-Dimethoxybenzaldehyde",n/a,C9H10O3,166.062994182,M+Na,+,189.052212,0
189.0522034,HMDB0168681,4-ethoxybenzoic acid,n/a,C9H10O3,166.062994182,M+Na,+,189.052212,0
189.0522034,HMDB0168656,2-hydroxyethyl benzoate,n/a,C9H10O3,166.062994182,M+Na,+,189.052212,0
189.0522034,HMDB0168684,4-Ethoxy-3-hydroxybenzaldehyde,n/a,C9H10O3,166.062994182,M+Na,+,189.052212,0
189.0522034,HMDB0168682,4-ethoxy-2-hydroxybenzaldehyde,n/a,C9H10O3,166.062994182,M+Na,+,189.052212,0
189.0522034,HMDB0168683,4-(2-hydroxyethoxy)benzaldehyde,n/a,C9H10O3,166.062994182,M+Na,+,189.052212,0
189.0522034,HMDB0171689,(4-Methylphenoxy)acetic acid,n/a,C9H10O3,166.062994182,M+Na,+,189.052212,0
189.0522034,HMDB0177510,"1-(4-hydroxyphenyl)prop-1-ene-1,2-diol",n/a,C9H10O3,166.062994182,M+Na,+,189.052212,0
