query_mass,compound_id,compound_name,kegg_id,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,delta(ppm)
101.0600381,HMDB0059844,Diethyl carbonate,n/a,C5H10O3,118.062994186,M+H-H2O,+,101.060294,3
101.0600381,HMDB0000642,Erythronilic acid,n/a,C5H10O3,118.062994186,M+H-H2O,+,101.060294,3
101.0600381,HMDB0041603,Methyl-beta-hydroxybutyrate,n/a,C5H10O3,118.062994182,M+H-H2O,+,101.060294,3
101.0600381,HMDB0040735,Ethyl lactate,n/a,C5H10O3,118.062994186,M+H-H2O,+,101.060294,3
101.0600381,HMDB0002011,4-Hydroxyisovaleric acid,n/a,C5H10O3,118.062994186,M+H-H2O,+,101.060294,3
101.0600381,HMDB0001863,2-Hydroxyvaleric acid,n/a,C5H10O3,118.062994186,M+H-H2O,+,101.060294,3
101.0600381,HMDB0000754,3-Hydroxyisovaleric acid,n/a,C5H10O3,118.062994186,M+H-H2O,+,101.060294,3
101.0600381,HMDB0000531,3-Hydroxyvaleric acid,n/a,C5H10O3,118.062994186,M+H-H2O,+,101.060294,3
101.0600381,HMDB0000410,"3-Hydroxy-2-methyl-[S-(R,R)]-butanoic acid",n/a,C5H10O3,118.062994186,M+H-H2O,+,101.060294,3
101.0600381,HMDB0000407,2-Hydroxy-3-methylbutyric acid,n/a,C5H10O3,118.062994186,M+H-H2O,+,101.060294,3
101.0600381,HMDB0000396,2-Ethylhydracrylic acid,n/a,C5H10O3,118.062994186,M+H-H2O,+,101.060294,3
101.0600381,HMDB0000354,2-Methyl-3-hydroxybutyric acid,n/a,C5H10O3,118.062994186,M+H-H2O,+,101.060294,3
101.0600381,HMDB0000351,"(2S,3R)-3-Hydroxy-2-methylbutanoic acid",n/a,C5H10O3,118.062994186,M+H-H2O,+,101.060294,3
101.0600381,HMDB0172069,Propyl glycolate,n/a,C5H10O3,118.062994182,M+H-H2O,+,101.060294,3
101.0600381,HMDB0172068,3-hydroxypropyl Acetate,n/a,C5H10O3,118.062994182,M+H-H2O,+,101.060294,3
101.0600381,HMDB0172067,2-hydroxypropyl acetate,n/a,C5H10O3,118.062994182,M+H-H2O,+,101.060294,3
101.0600381,HMDB0161206,2-hydroxy-3-methylbutanoate,n/a,C5H9O3,117.05571773,M+H-H2O,+,101.060294,3
101.0600381,HMDB0161204,3-Hydroxy-3-methylbutyrate,n/a,C5H9O3,117.05571773,M+H-H2O,+,101.060294,3
101.0600381,HMDB0161205,4-hydroxy-3-methylbutanoate,n/a,C5H9O3,117.05571773,M+H-H2O,+,101.060294,3
101.0600381,HMDB0062584,2-Hydroxy-3-methylbutyric acid,n/a,C5H10O3,118.062994182,M+H-H2O,+,101.060294,3
101.0600381,HMDB0062057,4-hydroxy-valeric acid,n/a,C5H10O3,118.062994182,M+H-H2O,+,101.060294,3
101.0600381,HMDB0061927,5-Hydroxypentanoic acid,C02804,C5H10O3,118.062994186,M+H-H2O,+,101.060294,3
101.0600381,HMDB0001987,2-Hydroxy-2-methylbutyric acid,n/a,C5H10O3,118.062994186,M+H-H2O,+,101.060294,3
101.0600381,HMDB0130836,4-hydroxy-2-methylbutanoic acid,n/a,C5H10O3,118.062994182,M+H-H2O,+,101.060294,3
101.0600381,HMDB0029599,Glutaral,C12518,C5H8O2,100.0524295,M+H,+,101.059706,3
101.0600381,HMDB0031648,"2,4-Pentanedione",C15499,C5H8O2,100.0524295,M+H,+,101.059706,3
101.0600381,HMDB0031602,4-Pentenoic acid,n/a,C5H8O2,100.0524295,M+H,+,101.059706,3
101.0600381,HMDB0029608,Angelic acid,n/a,C5H8O2,100.0524295,M+H,+,101.059706,3
101.0600381,HMDB0035143,Dihydro-3-methyl-2(3H)-furanone,n/a,C5H8O2,100.0524295,M+H,+,101.059706,3
101.0600381,HMDB0032385,Methyl methacrylate,C19504,C5H8O2,100.0524295,M+H,+,101.059706,3
101.0600381,HMDB0032351,Isopropenyl acetate,n/a,C5H8O2,100.0524295,M+H,+,101.059706,3
101.0600381,HMDB0032459,2-Pentenoic acid,n/a,C5H8O2,100.0524295,M+H,+,101.059706,3
101.0600381,HMDB0031178,2-Methyltetrahydrofuran-3-one,n/a,C5H8O2,100.0524295,M+H,+,101.059706,3
101.0600381,HMDB0033840,Dihydro-5-methyl-2(3H)-furanone,n/a,C5H8O2,100.0524295,M+H,+,101.059706,3
101.0600381,HMDB0031598,"2,3-Pentanedione",n/a,C5H8O2,100.0524295,M+H,+,101.059706,3
101.0600381,HMDB0033978,Ethyl acrylate,C19238,C5H8O2,100.0524295,M+H,+,101.059706,3
101.0600381,HMDB0002167,3-Methylbutyrolactone,n/a,C5H8O2,100.0524295,M+H,+,101.059706,3
101.0600381,HMDB0001862,2-Ethylacrylic acid,n/a,C5H8O2,100.0524295,M+H,+,101.059706,3
101.0600381,HMDB0000509,Senecioic acid,n/a,C5H8O2,100.0524295,M+H,+,101.059706,3
101.0600381,HMDB0001470,Tiglic acid,C08279,C5H8O2,100.0524295,M+H,+,101.059706,3
