"population","pop_name","sample","vaccine_status","percentage"
"Pop11","CD3+CD8+CD45RA+CD172(negative all other markers)","Minipig_7554_12wks","control",0
"Pop11","CD3+CD8+CD45RA+CD172(negative all other markers)","Minipig_9739_12wks","control",0
"Pop11","CD3+CD8+CD45RA+CD172(negative all other markers)","Minipig_9947_12wks","vaccinated",0.00238823079862438
"Pop12","CD3+CD8+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_1817_30DPI","vaccinated",1.15774800588554
"Pop12","CD3+CD8+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_3273_30DPI","control",1.12566484083512
"Pop12","CD3+CD8+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_4515_30DPI","vaccinated",0.438011807274805
"Pop12","CD3+CD8+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_4754_30DPI","control",0.915417894538843
"Pop12","CD3+CD8+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_5273_30DPI","vaccinated",0.549417007508699
"Pop12","CD3+CD8+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_6059_30DPI","vaccinated",0.525323275862069
"Pop12","CD3+CD8+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_7488_30DPI","control",1.19413572948688
"Pop12","CD3+CD8+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_7554_30DPI","control",3.14445828144458
"Pop12","CD3+CD8+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_9739_30DPI","control",0.546394770221485
"Pop12","CD3+CD8+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_9947_30DPI","vaccinated",1.74308817120999
"Pop12","CD3+CD8+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_1817_12wks","vaccinated",0
"Pop12","CD3+CD8+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_3273_12wks","control",0
"Pop12","CD3+CD8+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_4515_12wks","vaccinated",0
"Pop12","CD3+CD8+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_4754_12wks","control",0
"Pop12","CD3+CD8+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_5273_12wks","vaccinated",0.00309338942679494
"Pop12","CD3+CD8+CD45RA+SLADQ+CD172(negative all other markers)","Minipig_6059_12wks","vaccinated",0
