"","metaboliteID","PC5","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","QC","Unvaccinated","Vaccinated","Minipig_Pooled_QC1","Minipig_Pooled_QC2","Minipig_Pooled_QC3","Minipig_Pooled_QC4","Minipig_Pooled_QC5","Minipig_Pooled_QC6","Minipig_Pooled_QC7","Minipig_3273_12wks","Minipig_3273_30DPI","Minipig_4754_12wks","Minipig_4754_30DPI","Minipig_7488_12wks","Minipig_7488_30DPI","Minipig_7554_12wks","Minipig_7554_30DPI","Minipig_9739_12wks","Minipig_9739_30DPI","Minipig_1817_12wks","Minipig_1817_30DPI","Minipig_4515_12wks","Minipig_4515_30DPI","Minipig_5273_12wks","Minipig_5273_30DPI","Minipig_6059_12wks","Minipig_6059_30DPI","Minipig_9947_12wks","Minipig_9947_30DPI"
"1",54,-0.0300511682084018,89.5072931913414,89.5069945588932,89.5078165438922,60.56400000002,59.89800000002,61.23599999998,27,7,10,10,59101.991163846,50470.3744338842,49622.3031673778,48034.5121902655,49928.4568595093,59712.7517264916,42546.7264547463,64633.6060236476,46374.9626969217,48248.5049863111,44933.2495976016,66427.8961113677,48030.3222739409,45975.4196354542,90495.7077768018,44547.728884716,46375.7899045053,71131.5259365821,83357.1196130926,43945.8631972896,44554.4080572326,53105.2425342074,54741.2333934371,39715.5007750561,52690.1868437919,45357.8362153996,41119.2503967521
"2",62,-0.0331453746375251,90.9773013943723,90.9770279324166,90.9779101202086,73.4655,72.46000000002,77.08299999998,28,7,10,10,1746332.8599844,1729159.14933795,1731355.71840539,1707108.35260948,1670419.48586835,1655130.28816691,1678922.86121802,1765555.62394152,1722163.99837613,1705527.91038167,1715549.13997029,1719991.82207921,1662674.46631929,1448947.24417431,1708966.79782254,1644123.2525686,1662985.33734136,1762874.83387301,1765758.92222524,1775333.69014705,1765171.97488626,1707213.46058136,1690898.45094574,1648387.91096752,1707157.40447505,1698273.50167634,1675540.26405467
"3",64,-0.0431926122707202,91.0394908681579,91.0390711913503,91.0401738505527,133.26399999998,113.704,151.83599999998,53,7,10,10,137964.365382491,147489.16673987,154490.926024011,139762.131088778,113220.419853304,114279.077154168,109721.230706813,123315.06088199,252104.694536865,160940.594901056,166025.758922019,168214.817444655,77908.9417773693,122904.776082684,223671.510944149,99048.1894521486,64552.8802802735,225953.062068265,191182.028564419,171384.086596563,166228.984936231,176244.912709888,168348.699400424,196632.941771956,216464.719982784,97933.090862353,75511.4204603911
"4",237,-0.032836188832836,122.963916228161,122.963554281968,122.964553281331,60.64799999998,59.23499999998,61.88699999998,27,7,10,10,36224.9432035993,28271.5359891303,29417.7267399331,27736.4318583551,29343.0361198552,29176.2564273698,30776.8433875244,38750.8416056115,30846.8662343438,28528.6026378328,27430.8926925824,41447.9967475592,26466.6072750702,27933.9271115918,49752.0363003359,25444.6481255035,31709.8983388855,41905.6934500412,43935.608593041,28298.7861794697,25144.076379198,27057.3989430049,27844.1110023088,35456.6042153014,38368.6660255987,30309.2651183941,26794.7933547434
"5",285,-0.0309062278923153,127.039852940166,127.038644851132,127.043982880678,84.50000000002,83.13000000002,145.75700000002,29,6,9,8,30413.6564255095,31800.3766055287,22497.3357366443,28970.0916537898,30010.8592175438,30513.9626906192,29498.8698607163,19997.6216494196,26169.7135226746,24716.2935108455,30594.7487483857,41413.1209745739,12978.0413439592,15605.4369499423,52445.146274395,19956.6582251415,16596.7487938735,33886.2615742511,28106.1979293739,24068.3613104318,24773.2522623233,22766.1677986915,16231.9075056438,26882.7028821619,35376.7864261146,24296.7359177492,15274.3721544056
"6",500,-0.0332792732885055,155.029770770871,155.027857256091,155.034863513601,131.99299999998,115.80500000002,152.903,23,4,8,6,7697.37212360487,17702.1895818645,22462.4905052515,10270.0484091946,16041.9098849958,13515.736705127,16119.7365765901,45343.1801349178,38752.4737909062,19464.4888442755,9530.52046236512,17153.1093152691,7510.76656289145,5898.48867480466,18625.1273712017,16562.2106661027,17711.2237187084,40038.6424798438,20267.9007520201,15636.6212281029,16845.5949120444,7499.74157453541,9478.65672789281,13799.9175520098,9978.05971515584,9400.4441674013,8124.55548194193
"7",520,-0.0392377084053128,158.96409960358,158.963714083642,158.964842397315,73.23399999998,71.95200000002,77.08299999998,27,7,10,10,399242.080592311,394449.216760732,391643.757564852,385375.428572086,372784.877842957,366542.259688565,374703.160764004,407034.885365949,396799.464546412,385007.927222758,384987.042464172,395209.104436669,369319.804309781,312141.235599915,405089.686185535,365078.156577702,368961.802518196,416188.535779385,414016.020562037,405165.439707672,402477.768469785,378891.026600511,380419.883507766,364548.703069457,382270.863340114,376833.726798453,373758.612260736
"8",633,-0.0366282280075651,181.070547175578,181.069969011426,181.07139226334,126.58500000001,113.30099999998,151.83599999998,52,7,10,10,91138.2052060423,89345.5773438438,91713.8779754147,88060.1205697942,80425.3624052407,78971.3773804629,81321.8316659475,73880.3828103702,121345.406386104,102212.077662006,86435.6900296679,56035.5661268439,48044.2935534668,72458.7542196533,59944.8382816899,74003.5578330991,35186.2139513732,129643.78734213,93681.0536367257,101705.443493831,84958.8844568934,120121.812471541,85831.891472316,103270.180016947,120294.883168248,76776.6581099994,55615.6710375074
"9",726,-0.0422614820943801,203.091240865946,203.090181815533,203.094299720359,134.71600000001,134.51900000002,135.321,8,4,2,2,14013.4219439452,13880.1585218074,6266.19026000977,12759.8394150287,7049.73559899903,7624.10373207089,7500.05334879349,10797.6399242552,14705.2976596994,13316.9687063481,8450.34774360945,12563.8984949663,5692.87767109694,7090.55206080811,8085.1293176217,10612.1944251649,7105.12355175641,15571.4579316207,12908.2472231807,12486.5448914522,5713.10331525033,7662.12247181916,9190.80994552241,13513.1594339088,11180.3659921636,9483.1694025156,6724.82127799839
"10",800,-0.0356359892632243,217.107089490013,217.106512144606,217.107977928504,722.05100000002,721.332,722.221,11,2,2,7,13873.0793438713,8511.74810208084,8579.06343072307,7922.96382964451,8553.00993252147,7516.14529224804,6260.60126215707,9519.11764499824,14043.7961660625,9745.03502120619,8671.26468815947,9990.73641937439,6597.18295622555,9795.56335554449,4615.62430459713,8672.79113833535,7041.59888608102,14668.2827284302,12692.8402075706,12476.8495320086,9157.23024176169,13538.506979703,8882.52555177591,11340.7132856567,11614.06864743,6658.44605549163,4890.73799437284
