"","metaboliteID","PC5","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","QC","Unvaccinated","Vaccinated","Minipig_Pooled_QC1","Minipig_Pooled_QC2","Minipig_Pooled_QC3","Minipig_Pooled_QC4","Minipig_Pooled_QC5","Minipig_Pooled_QC6","Minipig_Pooled_QC7","Minipig_3273_12wks","Minipig_3273_30DPI","Minipig_4754_12wks","Minipig_4754_30DPI","Minipig_7488_12wks","Minipig_7488_30DPI","Minipig_7554_12wks","Minipig_7554_30DPI","Minipig_9739_12wks","Minipig_9739_30DPI","Minipig_1817_12wks","Minipig_1817_30DPI","Minipig_4515_12wks","Minipig_4515_30DPI","Minipig_5273_12wks","Minipig_5273_30DPI","Minipig_6059_12wks","Minipig_6059_30DPI","Minipig_9947_12wks","Minipig_9947_30DPI"
"1",16,0.0352204243254373,80.974468210095,80.9742362618511,80.9751270384395,1346.895,1346.221,1347.554,8,2,4,2,5435.32024086993,6549.2274790318,7982.93314155701,8712.18540729788,10093.2628780465,11208.3519806321,13404.7073890108,6926.45015983078,6774.22908881228,8983.7000429693,8472.88506948242,9643.51436369969,12158.4653534514,8342.69985424408,6809.09821284972,12823.2130826764,12102.0622392076,7328.45843729647,6876.35127144738,7368.28411322185,7446.79257686515,8236.57940210637,8355.57606001434,8197.32588819248,9330.14503014068,15383.0447401828,12595.4737098578
"2",88,0.0374705386927253,98.9846486143393,98.9843612121102,98.9851917418576,1346.90000000002,1346.221,1347.79900000002,27,7,10,10,47413.3964516929,52291.2573724108,58764.6013927923,65620.7269948861,78930.5800301444,87431.3296205823,99584.5116484147,56774.6862691925,51843.3560573951,70211.8194244686,64682.5967860277,74145.6020552466,90662.4973805508,66306.0641655448,53038.3138635599,94888.1777803149,92767.5941453024,52602.6649323186,51027.5557900963,57668.6498137913,60742.7919284719,70964.4906963126,59457.0392322547,62237.2206863056,67056.0539335432,112035.091270119,101157.437049963
"3",125,0.0387039410006389,105.070275213565,105.07006222665,105.070550662183,1272.99449999999,1272.87499999998,1273.56399999998,4,0,4,0,4926.26968716295,4835.02706789877,5387.61111032299,5833.79183439072,4966.93906364101,4757.56964107859,4691.39031084056,3926.63641900965,656.876085686381,7068.98739545792,8329.75273491139,5457.01782059553,9161.97985672762,12666.2779313277,3092.18576800777,4268.2764068601,13939.8238758205,4688.26221676916,2800.69699753498,4310.84317880844,8215.74256811291,4826.82151809186,1795.87758077052,6897.71577003016,5218.1933742814,4949.57241306547,7244.22999703838
"4",158,0.0309726588729659,115.039087237115,115.038413421872,115.03939331994,252.599,249.51,253.33200000002,19,7,5,7,24928.8414088903,25094.6223922588,28849.5123601232,28844.1740973956,30029.3138716245,32565.1207892889,31537.1447260619,12217.6913736044,28229.4049046857,20779.2619609409,27847.2642455234,11162.1142876041,32761.4351442592,25483.3317469409,6770.80344907741,34385.7747097876,35220.3939822393,10906.9872547928,26527.0944184849,25696.3314710267,27127.2152054453,27817.2418566392,30366.9675213664,19751.2009496241,26181.1930302238,16150.992596286,25417.337657486
"5",197,0.0314315120300957,118.086213251106,118.085908302174,118.086845494778,1616.16450000001,1589.576,1622.96599999998,20,2,5,3,49920.7510586296,53663.8354035508,57718.454208225,60033.4016564503,64036.6418362747,43667.1882578673,70366.7047108777,63387.2756098551,51452.2829479196,56481.0965625926,61616.483354928,68270.4076094844,235208.600843303,56399.9093241746,59972.4206392765,48723.0865618966,73181.6174593238,50001.066861131,49905.3578548215,46390.349242551,55469.9438197408,54471.9870968366,65094.6222472017,51487.4471377852,57553.2185812424,83286.5677719767,75069.6497465291
"6",214,0.0340043190898419,118.086114414829,118.085811116628,118.086651378336,1749.656,1730.31999999998,1760.99199999998,13,2,5,3,32370.4738835768,55378.1783027848,61658.514852531,66415.0940223761,67869.0348831605,45913.1151943787,73981.9524482886,55583.7153653394,56605.3068593253,66192.3479143735,101976.438600645,60811.4051802366,92096.1697300789,112402.773353161,70558.9545482081,71420.3475816178,62611.470754245,45418.911495626,54698.7284544381,62666.3870106294,66163.7938410424,68576.9342161688,95090.7085350083,64143.6688956618,46478.6012828482,79803.3796885781,84667.6187428335
"7",244,0.030843921846692,123.091824382578,123.091403794596,123.092259454333,1664.69750000001,1662.304,1666.31000000002,6,2,4,0,227801.084620158,219147.238940096,212777.283137321,204043.42152973,204944.181160692,202329.862504452,185179.477959894,197944.280849504,173538.097074914,205394.712012539,199746.566186666,229947.931506348,305918.252106734,202347.022028847,246808.243601964,205582.599712133,272970.831129311,227385.31738617,195864.961955623,204057.034215653,207218.551490784,192506.62669698,182889.654544592,177316.644553292,182972.497862788,213852.550284576,217148.136799566
"8",302,0.0398558306076313,130.050019075345,130.049548649497,130.050763846675,83.17599999998,81.43000000002,86.285,21,6,7,8,88773.5803688326,97291.198530745,91447.550059477,83686.6648945102,85071.4989686075,370783.807085694,102204.626105029,52664.1846694228,62937.7941887897,78112.3465285472,442817.138567738,48164.730924752,582845.801022473,90257.7235158154,65915.0512731852,93020.5022212126,612482.41284415,55538.9053074049,59745.0202683087,79464.4149713477,81899.3765382385,106389.23452602,73024.4237009133,84451.1760637512,70896.7826328794,183385.927649794,503197.068521649
"9",361,0.037485012666623,132.101664601548,132.101523049537,132.102469660938,1748.99200000002,1731.65500000002,1760.32299999998,15,2,4,5,62985.2609221926,127556.808898041,85387.4225693057,116719.964246576,91973.7899005029,85932.3019138565,104090.726471678,79513.5740725975,79566.1992608059,74725.9674839358,101927.090479815,80656.9073599846,109341.476088755,108644.881576164,98081.9259650861,118812.984157874,142038.529515531,96923.8020982929,81293.2140577378,69627.9262185691,94410.7832544744,77535.4970881643,71575.6816356316,93999.364171476,97758.5938570394,107404.685100444,116364.57576048
"10",365,0.0313553207251643,132.101754783719,132.101389739082,132.102335137953,1674.9005,1674.308,1675.64500000002,10,1,4,5,64608.6576732089,73998.4908287851,83656.5751506628,75757.4848314431,87941.4268183,78456.7284871945,97889.9410600495,84139.206944358,86689.226992948,139308.15130804,102307.588753101,87525.5028359229,104587.68046246,113582.98530342,99075.7152874991,106238.956095541,264366.59265997,86324.66553424,92142.4988816045,79793.9853812251,96079.4382293969,90569.282354737,104443.337929839,125437.828207761,101358.461655138,109938.224463165,110095.966793672
"11",391,0.0336433239340284,137.057790013431,137.057300826218,137.058094863943,568.13700000002,567.59599999998,568.91000000002,5,5,0,0,28638.2978022587,8707.74538855255,8687.57911277427,8941.21523541605,11743.4943439026,12943.9833847624,14167.4199332122,0,151.524289840832,3357.70976427384,4284.11026998894,0,4935.07105109194,2762.00938086953,554.263984280197,0,6237.10885672188,0,1533.30259345596,0,2895.78685189701,1277.71026714798,133.020473088241,138.244862746938,3421.91520116142,0,2225.077778096
