"","metaboliteID","PC3","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","QC","Unvaccinated","Vaccinated","Minipig_Pooled_QC1","Minipig_Pooled_QC2","Minipig_Pooled_QC3","Minipig_Pooled_QC4","Minipig_Pooled_QC5","Minipig_Pooled_QC6","Minipig_Pooled_QC7","Minipig_3273_12wks","Minipig_3273_30DPI","Minipig_4754_12wks","Minipig_4754_30DPI","Minipig_7488_12wks","Minipig_7488_30DPI","Minipig_7554_12wks","Minipig_7554_30DPI","Minipig_9739_12wks","Minipig_9739_30DPI","Minipig_1817_12wks","Minipig_1817_30DPI","Minipig_4515_12wks","Minipig_4515_30DPI","Minipig_5273_12wks","Minipig_5273_30DPI","Minipig_6059_12wks","Minipig_6059_30DPI","Minipig_9947_12wks","Minipig_9947_30DPI"
"1",7,-0.0310301334887946,76.0765675224023,76.0763143254906,76.077186771747,83.75100000002,82.35299999998,87.07200000002,27,7,10,10,475305.5249525,479669.304320343,485139.801770077,493245.708396028,462013.243981846,452548.633496517,471781.102109107,130900.930768188,1512602.67537737,106336.857011259,1432280.26947017,71824.3752691335,1125016.7250023,27531.5780817344,892818.875655157,64834.6995081699,1297354.12976739,112846.879326992,1156406.55562249,69436.5312599584,1109380.66583423,118293.235032123,1555235.13261135,57523.9742213085,1182120.32822099,48192.2163529551,1099798.55247057
"2",9,-0.0300097226320678,77.038924707814,77.0383323980224,77.0392851565943,572.695,571.364,574.28400000002,18,7,5,6,8616.50083618304,8110.33626110848,8318.42146266953,8565.85500709881,9236.09208221628,9473.98988374917,10265.0008673269,9022.97605225869,9070.70572363789,8128.61664373419,12473.8505115819,8504.1051900291,10297.917617188,9642.91548945602,6427.06822563921,9062.24475293287,11075.0128995117,9941.29784537772,9066.38033698716,7509.80498988274,10232.5408324867,8908.50855326201,10881.5806639714,6761.45554858188,12221.8640084516,7405.72634098253,10782.431120117
"3",10,-0.0316236099754615,77.0796567175768,77.0793856339419,77.0801203796643,83.74800000002,82.35299999998,87.07200000002,17,7,5,5,14790.3238605194,15701.507261035,15457.231371254,15281.6663447824,13843.3694012187,14294.3449818004,14682.4437251004,4473.89110079175,45608.5091102648,3543.55080954383,42510.4618523792,2414.07754787552,33104.9877717706,759.215114247336,25569.6498683115,2037.61174197771,38318.4120314834,3571.58594022943,35606.6185952068,2223.90574958761,34041.5873009009,3958.45650739881,47254.0992784954,1820.53295640012,35979.4737400716,1483.16139261213,33610.0746535848
"4",19,-0.0303032240410195,81.0704971433993,81.070373295568,81.0712052116846,1173.03700000002,1172.25899999998,1173.516,7,0,3,4,7504.73026751301,5857.67579422652,6456.34972428238,6914.05109814989,8099.11642472481,7581.43370952369,7894.04643866987,4956.17432938923,17673.1590351103,3547.13063933966,4904.46274269159,3682.95477411098,16824.6029631879,3672.28650581753,2881.2242982462,3987.20006220841,13698.4898706352,4436.79552136521,16499.7650654051,2782.50106903485,7538.44046435811,3221.44601198499,11520.3103145116,5177.6750132438,6891.34343384011,6071.60025330172,22239.6127385172
"5",37,-0.031833534792271,84.0811685288498,84.0809117878574,84.0817361318999,132.55800000002,131.92599999998,140.918,26,7,9,10,143874.299184681,151553.585540034,151621.828100248,152160.493540922,148257.366321986,108023.932227917,111899.048755371,105201.94690118,167487.420664072,91292.5251990114,137024.578718555,74721.5460959461,171863.016813115,117975.344537603,87955.3405277709,116895.087233484,234863.139132302,100680.649568028,158020.69017854,148235.454437755,176908.286119073,114264.568576309,200182.309469773,84765.7854669019,223879.442178546,109327.101529273,229968.632918313
"6",44,-0.0302167031903934,85.0653056313044,85.0649964859433,85.0659870617365,586.1655,584.64799999998,588.91400000002,20,6,5,9,16269.0721543538,14180.3087761628,14011.2539277396,14174.5676665885,14201.4667755828,13947.1580822609,14410.348765755,13580.8868567157,13467.8110788129,13923.6827984425,18248.7418829652,11768.0490585669,14122.3036773816,11405.2569994505,2926.26090668774,13979.9646233667,16284.7213990696,12926.9965111647,15018.8852173494,16002.7897006521,19186.9296079858,16284.7967115427,17551.5506935098,16981.9748375444,17661.8737641512,15867.5741451673,13140.4745288209
"7",45,-0.0323784105249988,85.0841746701265,85.0837102830591,85.0845750467252,131.99299999998,131.911,132.70200000002,7,0,3,4,5803.30450029627,5783.60714804756,6874.47019784023,5883.06793720505,5830.88169612987,6128.8555969814,6790.56007123826,3206.49325589524,8292.44362541853,5422.04658819068,7701.29082991167,3603.61224631553,9808.57965861125,5605.0578914854,3918.10473248869,7193.95631325075,9621.07571086859,3239.92853982504,7885.6826862821,6279.85936288499,8805.66258496705,6911.04264027122,10821.7090888919,4713.24089827819,8348.38922867891,2793.20120692007,9646.64642026396
"8",77,-0.0342892478887555,95.0495298903812,95.049248973532,95.0500754219816,540.6735,539.789,542.52399999998,26,7,9,10,22963.6027769685,22078.9409247613,21480.6259601515,22130.5204133814,22830.5637194496,21336.5358837948,22955.2996054073,21066.4141926203,21274.8993772278,23104.605864225,31523.2025821131,16999.8604594911,23734.1991645813,18028.0400574948,4646.38503595538,18961.046331725,27371.251400441,18849.0846257903,23284.1206837122,24570.5816165859,29014.0048899988,23132.7316268921,25980.9783819581,23672.3785179027,26059.7471028704,23208.5350767728,21529.5193165553
"9",103,-0.0327196841844009,101.023270095938,101.02194810811,101.023857732503,107.849,107.03100000002,137.369,17,6,4,4,13272.3877216816,9773.64217822747,11728.3176949786,10369.5626855746,11925.7501566592,13987.7539412718,13107.333275448,8819.15309587233,12333.3189306502,9791.18051031753,18754.3914497168,7298.04230533237,20887.953890846,11202.2039139709,0,12308.5272212096,22937.7672390619,10187.7048205388,12921.5756750271,10498.0374499426,24122.1153130377,11915.6785862888,20212.7238558587,14293.1511708698,22207.3531120265,8779.41811059995,12956.8110127766
"10",118,-0.0359590014281128,105.035208189646,105.03492023904,105.03596339678,572.26500000002,571.364,575.43600000002,27,7,10,10,653604.828848477,637186.545232761,649099.513010312,650441.157799389,675333.150672232,666733.052428605,667048.245933941,225951.586578717,772477.277812058,503249.30721424,882786.503750534,389088.105218602,773273.663476925,443780.017860555,211208.29875899,505866.293579584,857782.738722743,628437.846070415,586816.955301273,395549.246034857,795564.916124589,675286.343317932,794388.529549515,413605.77997883,883628.086643696,427001.170876908,774195.949507526
"11",128,-0.0359766234268178,106.038054452625,106.037628168338,106.03876954336,572.23399999998,571.364,575.43600000002,27,7,10,10,42348.1063719467,41200.3821130122,42371.452881611,41914.0273659072,44288.6154963351,44635.6892555516,45796.9767643047,15502.5165031321,50395.3035442005,34357.3523247184,58155.1650562742,25934.061914551,51033.079951959,29376.9746025633,14777.3159290384,33804.7847810387,56984.5871841671,43093.2008306914,40149.2340444888,26578.2805902623,53210.9895929882,45076.1108470088,52010.8485988731,29505.2017932773,58353.5453756656,30477.1818789383,49923.1489134416
