"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"HMDB0165479","NA","NA","NA","NA","NA","0"
"HMDB0036458","1-Aminocyclopropanecarboxylic acid","HMDB0036458","535","C01234","NC1(CC1)C(O)=O","1"
"HMDB0029615","(S)-2-Azetidinecarboxylic acid","HMDB0029615","17288",NA,"C1CNC1C(=O)O","1"
"HMDB0029387","L-3-Aminodihydro-2(3H)-furanone","HMDB0029387","73509","C02926","C1COC(=O)C1N","1"
"HMDB0031530","3-Methyl-3-buten-2-one","HMDB0031530","13143",NA,"CC(=C)C(=O)C","1"
"HMDB0032458","4-Pentenal","HMDB0032458","16418",NA,"C=CCCC=O","1"
"HMDB0175216","NA","NA","NA","NA","NA","0"
"HMDB0031407","Cyclopentanone","HMDB0031407","8452","C00557","O=C1CCCC1","1"
"HMDB0001184","Methyl propenyl ketone","HMDB0001184","637920",NA,"C/C=C/C(=O)C","1"
"HMDB0012157","3-Methyl-2-butenal","HMDB0012157","61020","C15604","CC(=CC=O)C","1"
"HMDB0037788","xi-2,3-Dihydro-3-methylfuran","HMDB0037788","102677",NA,"CC1COC=C1","1"
"HMDB0031512","Tiglic aldehyde","HMDB0031512","6028462",NA,"C/C=C(/C)\C=O","1"
"HMDB0040584","NA","NA","NA","NA","NA","0"
"HMDB0031601","2-Pentenal","HMDB0031601","12365893",NA,"CC/C=C\C=O","1"
"HMDB0031606","4-Penten-2-one","HMDB0031606","83797",NA,"CC(=O)CC=C","1"
"HMDB0031607","1-Penten-3-one","HMDB0031607","15394",NA,"CCC(=O)C=C","1"
"HMDB0172632","NA","NA","NA","NA","NA","0"
"HMDB0012815","5-Aminopentanal","HMDB0012815","443849","C12455","C(CCN)CC=O","1"
"HMDB0062600","NA","NA","NA","NA","NA","0"
"HMDB0001252","Betaine aldehyde","HMDB0001252","249","C00576","C[N+](C)(C)CC=O","1"
"HMDB0038039","NA","NA","NA","NA","NA","0"
"HMDB0112254","NA","NA","NA","NA","NA","0"
"HMDB0041015","NA","NA","NA","NA","NA","0"
"HMDB0040170","NA","NA","NA","NA","NA","0"
"HMDB0031857","3-(Methylthio)propanal","HMDB0031857","18635",NA,"CSCCC=O","1"
"HMDB0031190","S-Ethyl thioacetate","HMDB0031190","61171",NA,"CCSC(=O)C","1"
"HMDB0031192","S-Methyl propanethioate","HMDB0031192","521869",NA,"CCC(=O)SC","1"
"HMDB0031982","3-Mercapto-2-butanone","HMDB0031982","38679",NA,"CC(C(=O)C)S","1"
"HMDB0042033","NA","NA","NA","NA","NA","0"
"HMDB0186744","NA","NA","NA","NA","NA","0"
"HMDB0034170","2-Hydroxybenzaldehyde","HMDB0034170","6998","C06202","C1=CC=C(C(=C1)C=O)O","1"
"HMDB0032918","3-(2-Furanyl)-2-propenal","HMDB0032918","1715056",NA,"C1=COC(=C1)/C=C\C=O","1"
"HMDB0001870","Benzoic acid","HMDB0001870","243","C00539","C1=CC=C(C=C1)C(=O)O","1"
"HMDB0011718","4-Hydroxybenzaldehyde","HMDB0011718","126","C00633","C1=CC(=CC=C1C=O)O","1"
"HMDB0062030","NA","NA","NA","NA","NA","0"
"HMDB0040145","NA","NA","NA","NA","NA","0"
"HMDB0013742","2-Furanmethanol","HMDB0013742","7361","C20441","C1=COC(=C1)CO","1"
"HMDB0034245","NA","NA","NA","NA","NA","0"
"HMDB0029609","5-Methyl-2(3H)-furanone","HMDB0029609","11558",NA,"CC1C=CC(=O)O1","1"
"HMDB0167282","NA","NA","NA","NA","NA","0"
"HMDB0179973","NA","NA","NA","NA","NA","0"
"HMDB0177063","NA","NA","NA","NA","NA","0"
"HMDB0167281","NA","NA","NA","NA","NA","0"
"HMDB0167283","NA","NA","NA","NA","NA","0"
"HMDB0012880","Acetamidopropanal","HMDB0012880","5460495","C18170","CC(=O)NCCC=O","1"
"HMDB0034208","Pterolactam","HMDB0034208","181561",NA,"COC1CCC(=O)N1","1"
"HMDB0000162","L-Proline","HMDB0000162","145742","C00148","C1C[C@H](NC1)C(=O)O","1"
"HMDB0003411","D-Proline","HMDB0003411","8988","C00763","C1C[C@@H](NC1)C(=O)O","1"
"HMDB0030409","4-Amino-2-methylenebutanoic acid","HMDB0030409","5318003",NA,"C=C(CCN)C(=O)O","1"
"HMDB0171727","NA","NA","NA","NA","NA","0"
"HMDB0032356","N-Lactoyl ethanolamine","HMDB0032356","95457",NA,"CC(C(=O)NCCO)O","1"
"HMDB0039499","NA","NA","NA","NA","NA","0"
"HMDB0031658","L-2-Amino-5-hydroxypentanoic acid","HMDB0031658","95562",NA,"C(CC(C(=O)O)N)CO","1"
"HMDB0163356","NA","NA","NA","NA","NA","0"
"HMDB0163355","NA","NA","NA","NA","NA","0"
"HMDB0163678","NA","NA","NA","NA","NA","0"
"HMDB0163357","NA","NA","NA","NA","NA","0"
"HMDB0163358","NA","NA","NA","NA","NA","0"
"HMDB0185846","NA","NA","NA","NA","NA","0"
"HMDB0176889","NA","NA","NA","NA","NA","0"
"HMDB0176890","NA","NA","NA","NA","NA","0"
"HMDB0176888","NA","NA","NA","NA","NA","0"
"HMDB0176891","NA","NA","NA","NA","NA","0"
"HMDB0165589","NA","NA","NA","NA","NA","0"
"HMDB0165586","NA","NA","NA","NA","NA","0"
"HMDB0165588","NA","NA","NA","NA","NA","0"
"HMDB0165585","NA","NA","NA","NA","NA","0"
"HMDB0163715","NA","NA","NA","NA","NA","0"
"HMDB0000689","Isocaproic acid","HMDB0000689","12587",NA,"CC(C)CCC(=O)O","1"
"HMDB0031207","Methyl pentanoate","HMDB0031207","12206",NA,"CCCCC(=O)OC","1"
"HMDB0030059","Propyl propionate","HMDB0030059","7803",NA,"CCCOC(=O)CC","1"
"HMDB0040279","NA","NA","NA","NA","NA","0"
"HMDB0033774","3-Methylpentanoic acid","HMDB0033774","7755",NA,"CCC(C)CC(=O)O","1"
"HMDB0034163","3-Methylbutyl formate","HMDB0034163","8052","C12293","CC(C)CCOC=O","1"
"HMDB0031511","Diacetone alcohol","HMDB0031511","31256",NA,"CC(=O)CC(C)(C)O","1"
"HMDB0031580","(±)-2-Methylpentanoic acid","HMDB0031580","7341",NA,"CCCC(C)C(=O)O","1"
"HMDB0030027","Methyl 3-methylbutanoate","HMDB0030027","11160",NA,"CC(C)CC(=O)OC","1"
"HMDB0037266","NA","NA","NA","NA","NA","0"
"HMDB0029762","Methyl (S)-2-Methylbutanoate","HMDB0029762","13357",NA,"CCC(C)C(=O)OC","1"
"HMDB0062131","NA","NA","NA","NA","NA","0"
"HMDB0000535","Caproic acid","HMDB0000535","8892","C01585","CCCCCC(=O)O","1"
"HMDB0061883","NA","NA","NA","NA","NA","0"
"HMDB0033889","Ethyl butyrate","HMDB0033889","7762",NA,"CCCC(=O)OCC","1"
"HMDB0031248","Ethyl 2-methylpropanoate","HMDB0031248","7342",NA,"CCOC(=O)C(C)C","1"
"HMDB0176566","NA","NA","NA","NA","NA","0"
"HMDB0031325","n-Butyl acetate","HMDB0031325","31272","C12304","CCCCOC(=O)C","1"
"HMDB0031246","2-Methylpropyl acetate","HMDB0031246","8038",NA,"CC(C)COC(=O)C","1"
"HMDB0030056","Isopropyl propionate","HMDB0030056","12508",NA,"CCC(=O)OC(C)C","1"
"HMDB0031221","2-Ethylbutanoic acid","HMDB0031221","6915",NA,"CCC(CC)C(=O)O","1"
"HMDB0040327","NA","NA","NA","NA","NA","0"
"HMDB0032478","Polypropylene glycol (m w 1,200-3,000)","HMDB0032478","32881",NA,"CC(CO)OCC(C)O","1"
"HMDB0062104","NA","NA","NA","NA","NA","0"
"HMDB0061966","NA","NA","NA","NA","NA","0"
"HMDB0062141","NA","NA","NA","NA","NA","0"
"HMDB0013716","Norvaline","HMDB0013716","439575","C01799","CCC[C@H](C(=O)O)N","1"
"HMDB0003355","5-Aminopentanoic acid","HMDB0003355","138","C00431","C(CCN)CC(=O)O","1"
"HMDB0001382","Vaporole","HMDB0001382","8053","C07457","CC(C)CCON=O","1"
"HMDB0002141","N-Methyl-a-aminoisobutyric acid","HMDB0002141","75725",NA,"CC(C)(C(=O)[O-])[NH2+]C","1"
"HMDB0015550","Amyl Nitrite","HMDB0015550","10026","C07457","CCCCCON=O","1"
"HMDB0000883","L-Valine","HMDB0000883","6287","C00183","CC(C)[C@@H](C(=O)O)N","1"
"HMDB0029599","Glutaral","HMDB0029599","3485","C12518","C(CC=O)CC=O","1"
"HMDB0000509","Senecioic acid","HMDB0000509","10931",NA,"CC(=CC(=O)O)C","1"
"HMDB0001470","Tiglic acid","HMDB0001470","125468","C08279","C/C=C(\C)/C(=O)O","1"
"HMDB0001862","2-Ethylacrylic acid","HMDB0001862","19166",NA,"CCC(=C)C(=O)O","1"
"HMDB0002167","3-Methylbutyrolactone","HMDB0002167","98451",NA,"CC1CC(=O)OC1","1"
"HMDB0031648","2,4-Pentanedione","HMDB0031648","31261","C15499","CC(=O)CC(C)=O","1"
"HMDB0033840","Dihydro-5-methyl-2(3H)-furanone","HMDB0033840","7921",NA,"CC1CCC(=O)O1","1"
"HMDB0031178","Dihydro-2-methyl-3(2H)-furanone","HMDB0031178","18522",NA,"CC1C(=O)CCO1","1"
"HMDB0031602","4-Pentenoic acid","HMDB0031602","61138",NA,"C=CCCC(=O)O","1"
