"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"HMDB0161141","NA","NA","NA","NA","NA","0"
"HMDB0006898","Chenodeoxyglycocholic acid","HMDB0006898","53477907","C05462","CC(CCC(=O)NCC(=O)O)C1CCC2[C@@]1(CCC3C2[C@@H](CC4[C@@]3(CC[C@H](C4)O)C)O)C","1"
"HMDB0000631","Deoxycholic acid glycine conjugate","HMDB0000631","3035026","C05464","C[C@H](CCC(=O)NCC(=O)O)[C@H]1CCC2[C@@]1([C@H](CC3C2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C","1"
"HMDB0000637","Chenodeoxycholic acid glycine conjugate","HMDB0000637","22833540","C05466","C[C@H](CCC(=O)NCC(=O)O)[C@H]1CCC2[C@@]1(CCC3C2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C","1"
"HMDB0184641","NA","NA","NA","NA","NA","0"
"HMDB0161139","NA","NA","NA","NA","NA","0"
"HMDB0173226","NA","NA","NA","NA","NA","0"
"HMDB0173227","NA","NA","NA","NA","NA","0"
"HMDB0173228","NA","NA","NA","NA","NA","0"
"HMDB0173225","NA","NA","NA","NA","NA","0"
"HMDB0173223","NA","NA","NA","NA","NA","0"
"HMDB0173224","NA","NA","NA","NA","NA","0"
"HMDB0012516","11'-Carboxy-alpha-tocotrienol","HMDB0012516","53481452",NA,"CC1=C(C(=C2CC[C@@](OC2=C1C)(C)CC/C=C(\C)/CC/C=C(\C)/CCC(=O)O)C)O","1"
"HMDB0030140","Adlupulone","HMDB0030140",NA,NA,"CCC(C)C(=O)C1=C(O)C(CC=C(C)C)C(=O)C(CC=C(C)C)(CC=C(C)C)C1=O","1"
"HMDB0030041","Lupulone","HMDB0030041","51397980","C10706","CC(C)CC(=O)C1=C(C(C(=O)C(C1=O)CC=C(C)C)(CC=C(C)C)CC=C(C)C)O","1"
"HMDB0155347","NA","NA","NA","NA","NA","0"
"HMDB0155348","NA","NA","NA","NA","NA","0"
"HMDB0034064","2-Angeloyl-9-(3-methyl-2E-pentenoyl)-2b,9a-dihydroxy-4Z,10(14)-oplopadien-3-one","HMDB0034064","131751519",NA,"CC\C(C)=C\C(=O)OC1CC(C(C)C)C2C(C(OC(=O)C(\C)=C/C)C(=O)\C2=C/C)C1=C","1"
"HMDB0012936","Dynorphin B (10-13)","HMDB0012936","53481556",NA,"C[C@@H]([C@@H](C(=O)O)NC(=O)[C@@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](CCCCN)N)O","1"
