"","total","expected","hits","Raw p","Holm p","FDR"
"Carnitine Synthesis",22,1.85,1,0.858,1,1
"Phospholipid Biosynthesis",29,2.44,1,0.924,1,1
"Arachidonic Acid Metabolism",69,5.79,1,0.998,1,1
